               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,              0.0031,              0.0031,              0.0721
                   1,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,           0.0052605,           0.0052605,             0.04226
                   2,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,            0.006365,            0.006365,            0.011365
                   3,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                   4,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                   5,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,              0.0034,              0.0034,              0.0034
