               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,              0.0031,              0.0031,              0.0721
                   1,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,            0.004221,            0.004221,            0.041221
                   2,                 nan,                 nan,                 nan,          1.2549e-05,           0.0018853,           7.303e-06,          1.5659e-06,                 nan,                 nan,                 nan,             0.00323,             0.00323,             0.00823
